,ID_Gato,Raza,Edad,Enfermedad,Tratamiento,Resultado
0,1,Ragdoll,12,Infección urinaria,Medicación tiroidea,Mejora
1,2,Persa,11,Diabetes,Antibióticos,Mejora
2,3,Persa,14,Enfermedad renal,Terapia de fluidos,Sin Cambio
3,4,Ragdoll,1,Alergias,Medicación tiroidea,Mejora
4,5,Persa,1,Enfermedad renal,Insulina,Sin Cambio
5,6,Persa,10,Infección urinaria,Antibióticos,Deterioro
6,7,Siamés,8,Enfermedad renal,Insulina,Mejora
7,8,British Shorthair,5,Hipertiroidismo,Medicación tiroidea,Deterioro
8,9,Bengalí,14,Infección urinaria,Medicación tiroidea,Sin Cambio
9,10,Bengalí,9,Hipertiroidismo,Antihistamínicos,Mejora
10,11,Siamés,1,Hipertiroidismo,Medicación tiroidea,Mejora
11,12,Bengalí,13,Alergias,Medicación tiroidea,Mejora
12,13,British Shorthair,2,Hipertiroidismo,Medicación tiroidea,Mejora
13,14,Siamés,8,Infección urinaria,Terapia de fluidos,Deterioro
14,15,Persa,2,Infección urinaria,Medicación tiroidea,Deterioro
15,16,Persa,11,Hipertiroidismo,Terapia de fluidos,Deterioro
16,17,British Shorthair,2,Alergias,Antibióticos,Deterioro
17,18,Bengalí,11,Hipertiroidismo,Terapia de fluidos,Mejora
18,19,British Shorthair,12,Enfermedad renal,Terapia de fluidos,Sin Cambio
19,20,Ragdoll,8,Diabetes,Antihistamínicos,Sin Cambio
20,21,Ragdoll,15,Enfermedad renal,Antihistamínicos,Sin Cambio
21,22,British Shorthair,3,Infección urinaria,Antibióticos,Mejora
22,23,British Shorthair,11,Enfermedad renal,Terapia de fluidos,Mejora
23,24,Siamés,9,Hipertiroidismo,Insulina,Mejora
24,25,Siamés,6,Infección urinaria,Insulina,Mejora
25,26,Ragdoll,5,Hipertiroidismo,Antihistamínicos,Mejora
26,27,Bengalí,3,Enfermedad renal,Antibióticos,Mejora
27,28,British Shorthair,4,Diabetes,Antihistamínicos,Sin Cambio
28,29,Persa,5,Enfermedad renal,Antibióticos,Sin Cambio
29,30,Bengalí,10,Alergias,Antibióticos,Mejora
30,31,Ragdoll,15,Alergias,Insulina,Sin Cambio
31,32,British Shorthair,9,Diabetes,Antibióticos,Deterioro
32,33,British Shorthair,11,Hipertiroidismo,Antibióticos,Mejora
33,34,Ragdoll,8,Alergias,Medicación tiroidea,Mejora
34,35,Siamés,2,Diabetes,Insulina,Deterioro
35,36,Bengalí,10,Hipertiroidismo,Terapia de fluidos,Deterioro
36,37,British Shorthair,9,Hipertiroidismo,Medicación tiroidea,Deterioro
37,38,Persa,15,Alergias,Terapia de fluidos,Mejora
38,39,Ragdoll,5,Alergias,Terapia de fluidos,Mejora
39,40,British Shorthair,12,Enfermedad renal,Antihistamínicos,Mejora
40,41,Ragdoll,11,Enfermedad renal,Terapia de fluidos,Deterioro
41,42,Persa,8,Diabetes,Medicación tiroidea,Mejora
42,43,Bengalí,8,Alergias,Insulina,Mejora
43,44,Ragdoll,7,Enfermedad renal,Insulina,Mejora
44,45,Ragdoll,4,Enfermedad renal,Medicación tiroidea,Mejora
45,46,Persa,3,Infección urinaria,Antibióticos,Sin Cambio
46,47,Persa,6,Enfermedad renal,Antibióticos,Mejora
47,48,Bengalí,4,Enfermedad renal,Antihistamínicos,Mejora
48,49,British Shorthair,13,Alergias,Medicación tiroidea,Sin Cambio
49,50,Siamés,12,Infección urinaria,Terapia de fluidos,Mejora
50,51,British Shorthair,4,Alergias,Terapia de fluidos,Sin Cambio
51,52,Siamés,5,Hipertiroidismo,Insulina,Mejora
52,53,Siamés,1,Diabetes,Terapia de fluidos,Mejora
53,54,Bengalí,13,Alergias,Antihistamínicos,Sin Cambio
54,55,British Shorthair,12,Infección urinaria,Medicación tiroidea,Sin Cambio
55,56,Persa,6,Hipertiroidismo,Terapia de fluidos,Sin Cambio
56,57,British Shorthair,11,Alergias,Antibióticos,Mejora
57,58,Bengalí,3,Enfermedad renal,Antihistamínicos,Deterioro
58,59,Ragdoll,12,Infección urinaria,Medicación tiroidea,Sin Cambio
59,60,Ragdoll,2,Alergias,Antihistamínicos,Sin Cambio
60,61,Ragdoll,9,Enfermedad renal,Medicación tiroidea,Sin Cambio
61,62,British Shorthair,15,Hipertiroidismo,Insulina,Mejora
62,63,Siamés,7,Infección urinaria,Insulina,Mejora
63,64,Persa,6,Enfermedad renal,Medicación tiroidea,Sin Cambio
64,65,British Shorthair,1,Diabetes,Insulina,Deterioro
65,66,Persa,15,Diabetes,Terapia de fluidos,Mejora
66,67,Persa,12,Diabetes,Terapia de fluidos,Deterioro
67,68,British Shorthair,9,Infección urinaria,Medicación tiroidea,Mejora
68,69,Ragdoll,15,Enfermedad renal,Antibióticos,Mejora
69,70,Persa,9,Alergias,Insulina,Mejora
70,71,Ragdoll,12,Alergias,Medicación tiroidea,Mejora
71,72,Bengalí,8,Enfermedad renal,Medicación tiroidea,Mejora
72,73,Ragdoll,14,Alergias,Antibióticos,Sin Cambio
73,74,Siamés,2,Diabetes,Medicación tiroidea,Sin Cambio
74,75,Persa,7,Enfermedad renal,Terapia de fluidos,Mejora
75,76,British Shorthair,10,Infección urinaria,Insulina,Mejora
76,77,Bengalí,6,Infección urinaria,Antibióticos,Mejora
77,78,Ragdoll,15,Diabetes,Antihistamínicos,Mejora
78,79,Ragdoll,5,Infección urinaria,Insulina,Mejora
79,80,British Shorthair,11,Enfermedad renal,Terapia de fluidos,Deterioro
80,81,Bengalí,1,Hipertiroidismo,Antibióticos,Mejora
81,82,Bengalí,4,Diabetes,Terapia de fluidos,Mejora
82,83,British Shorthair,4,Alergias,Antibióticos,Sin Cambio
83,84,British Shorthair,10,Hipertiroidismo,Insulina,Mejora
84,85,British Shorthair,6,Hipertiroidismo,Terapia de fluidos,Mejora
85,86,Bengalí,6,Hipertiroidismo,Insulina,Mejora
86,87,Ragdoll,8,Alergias,Antibióticos,Mejora
87,88,Persa,12,Hipertiroidismo,Insulina,Mejora
88,89,Persa,8,Infección urinaria,Insulina,Sin Cambio
89,90,Persa,4,Alergias,Insulina,Mejora
90,91,British Shorthair,14,Infección urinaria,Medicación tiroidea,Deterioro
91,92,Ragdoll,15,Enfermedad renal,Antibióticos,Mejora
92,93,Siamés,6,Hipertiroidismo,Medicación tiroidea,Mejora
93,94,British Shorthair,6,Infección urinaria,Medicación tiroidea,Mejora
94,95,Bengalí,2,Infección urinaria,Antibióticos,Sin Cambio
95,96,Ragdoll,12,Infección urinaria,Antihistamínicos,Sin Cambio
96,97,Siamés,2,Enfermedad renal,Terapia de fluidos,Mejora
97,98,Bengalí,7,Infección urinaria,Terapia de fluidos,Mejora
98,99,British Shorthair,8,Infección urinaria,Antibióticos,Mejora
99,100,Bengalí,3,Hipertiroidismo,Antihistamínicos,Mejora
100,101,British Shorthair,12,Hipertiroidismo,Insulina,Sin Cambio
101,102,Bengalí,3,Diabetes,Antibióticos,Sin Cambio
102,103,Siamés,15,Diabetes,Antihistamínicos,Sin Cambio
103,104,Persa,9,Alergias,Insulina,Sin Cambio
104,105,Bengalí,9,Enfermedad renal,Antihistamínicos,Mejora
105,106,Ragdoll,6,Alergias,Insulina,Deterioro
