,ID_Gato,Raza,Edad,Enfermedad,Historial_Clinico,Sintomas,Condicion_Salud,Estilo_Vida,Tratamiento,Resultado
0,1,Siamés,9,Hipertiroidismo,Ninguno,Leve,Ocasional,Exterior,Antibióticos,Deterioro
1,2,British Shorthair,3,Alergias,Ninguno,Leve,Ocasional,Interior,Terapia de fluidos,Mejora
2,3,British Shorthair,13,Hipertiroidismo,Leve,Severo,Crónica,Interior,Antihistamínicos,Deterioro
3,4,Siamés,7,Alergias,Moderado,Severo,Ocasional,Exterior,Antihistamínicos,Sin Cambio
4,5,Siamés,4,Infección urinaria,Severo,Severo,Crónica,Interior,Terapia de fluidos,Mejora
5,6,Ragdoll,12,Infección urinaria,Moderado,Severo,Ninguna,Exterior,Antibióticos,Deterioro
6,7,Ragdoll,1,Infección urinaria,Ninguno,Moderado,Crónica,Interior,Antihistamínicos,Mejora
7,8,British Shorthair,4,Hipertiroidismo,Severo,Ninguno,Ninguna,Exterior,Insulina,Sin Cambio
8,9,Ragdoll,7,Infección urinaria,Severo,Ninguno,Ninguna,Interior,Insulina,Mejora
9,10,Persa,1,Alergias,Severo,Severo,Crónica,Exterior,Insulina,Sin Cambio
10,11,Ragdoll,11,Enfermedad renal,Leve,Ninguno,Crónica,Exterior,Antibióticos,Mejora
11,12,Persa,15,Enfermedad renal,Leve,Moderado,Ninguna,Exterior,Antibióticos,Sin Cambio
12,13,British Shorthair,3,Enfermedad renal,Leve,Moderado,Crónica,Interior,Medicación tiroidea,Sin Cambio
13,14,Persa,9,Diabetes,Leve,Moderado,Crónica,Exterior,Terapia de fluidos,Mejora
14,15,Bengalí,1,Diabetes,Leve,Moderado,Ninguna,Exterior,Terapia de fluidos,Mejora
15,16,Bengalí,10,Enfermedad renal,Severo,Severo,Crónica,Exterior,Insulina,Sin Cambio
16,17,Persa,13,Diabetes,Severo,Ninguno,Crónica,Interior,Medicación tiroidea,Deterioro
17,18,Ragdoll,8,Hipertiroidismo,Ninguno,Severo,Ninguna,Interior,Insulina,Mejora
18,19,Persa,5,Alergias,Leve,Leve,Crónica,Exterior,Insulina,Sin Cambio
19,20,Ragdoll,12,Hipertiroidismo,Moderado,Ninguno,Crónica,Exterior,Terapia de fluidos,Mejora
20,21,British Shorthair,4,Diabetes,Leve,Severo,Ninguna,Exterior,Insulina,Mejora
21,22,Bengalí,11,Hipertiroidismo,Leve,Ninguno,Crónica,Interior,Antibióticos,Mejora
22,23,Persa,4,Diabetes,Severo,Leve,Crónica,Interior,Medicación tiroidea,Sin Cambio
23,24,Bengalí,12,Diabetes,Leve,Leve,Crónica,Exterior,Terapia de fluidos,Deterioro
24,25,British Shorthair,7,Enfermedad renal,Moderado,Ninguno,Ocasional,Interior,Antihistamínicos,Deterioro
25,26,Ragdoll,5,Alergias,Leve,Leve,Crónica,Exterior,Antihistamínicos,Mejora
26,27,Siamés,9,Enfermedad renal,Severo,Moderado,Ocasional,Exterior,Antibióticos,Mejora
27,28,Bengalí,1,Alergias,Moderado,Leve,Ninguna,Exterior,Antibióticos,Mejora
28,29,British Shorthair,14,Alergias,Leve,Severo,Crónica,Interior,Insulina,Mejora
29,30,British Shorthair,11,Alergias,Severo,Ninguno,Crónica,Interior,Terapia de fluidos,Mejora
30,31,Persa,2,Enfermedad renal,Moderado,Severo,Ninguna,Exterior,Medicación tiroidea,Mejora
31,32,Persa,2,Diabetes,Severo,Ninguno,Crónica,Exterior,Insulina,Deterioro
32,33,Ragdoll,7,Hipertiroidismo,Leve,Ninguno,Ocasional,Interior,Insulina,Deterioro
33,34,Bengalí,3,Alergias,Ninguno,Severo,Ninguna,Exterior,Insulina,Mejora
34,35,Persa,10,Diabetes,Severo,Ninguno,Ocasional,Exterior,Antibióticos,Deterioro
35,36,Persa,7,Infección urinaria,Ninguno,Leve,Ninguna,Exterior,Insulina,Mejora
36,37,Ragdoll,3,Diabetes,Ninguno,Ninguno,Ninguna,Exterior,Insulina,Mejora
37,38,Siamés,15,Hipertiroidismo,Moderado,Moderado,Ninguna,Exterior,Medicación tiroidea,Mejora
38,39,British Shorthair,2,Infección urinaria,Ninguno,Severo,Ninguna,Interior,Medicación tiroidea,Deterioro
39,40,British Shorthair,9,Infección urinaria,Severo,Ninguno,Ninguna,Exterior,Terapia de fluidos,Sin Cambio
40,41,Ragdoll,4,Infección urinaria,Leve,Moderado,Ninguna,Interior,Terapia de fluidos,Sin Cambio
41,42,Bengalí,15,Infección urinaria,Leve,Severo,Ocasional,Interior,Insulina,Deterioro
42,43,British Shorthair,5,Hipertiroidismo,Leve,Ninguno,Crónica,Interior,Medicación tiroidea,Mejora
43,44,Siamés,4,Hipertiroidismo,Leve,Leve,Ocasional,Interior,Antibióticos,Sin Cambio
44,45,Siamés,6,Alergias,Ninguno,Severo,Ninguna,Exterior,Insulina,Sin Cambio
45,46,Siamés,12,Hipertiroidismo,Ninguno,Severo,Ninguna,Interior,Medicación tiroidea,Mejora
46,47,Persa,12,Hipertiroidismo,Moderado,Leve,Ocasional,Exterior,Antihistamínicos,Mejora
47,48,Persa,4,Diabetes,Moderado,Moderado,Crónica,Exterior,Antibióticos,Mejora
48,49,Siamés,7,Alergias,Moderado,Severo,Ninguna,Exterior,Medicación tiroidea,Deterioro
49,50,Persa,14,Enfermedad renal,Ninguno,Leve,Crónica,Exterior,Medicación tiroidea,Mejora
50,51,Bengalí,12,Infección urinaria,Leve,Moderado,Ninguna,Exterior,Medicación tiroidea,Deterioro
51,52,Bengalí,13,Infección urinaria,Ninguno,Severo,Crónica,Interior,Antihistamínicos,Mejora
52,53,Ragdoll,11,Hipertiroidismo,Leve,Leve,Ocasional,Interior,Medicación tiroidea,Deterioro
